;code;group;V0_ampl;V0_freq;V1_ampl;V1_freq;V2_ampl;V2_freq;V3_ampl;V3_freq;V4_ampl;V4_freq
0;Subject_1;1;0.3119146688562157;47.04167616449564;0.5224870367789975;48.09504089291514;0.5418921342003321;50.58942957050144;0.22069397642585242;59.70720779883719;0.28468143627063935;71.39963178118053
1;Subject_2;1;0.4403849807321634;55.05909488858671;0.7737865539314073;56.60583598820013;0.8827670672743936;57.524157811160514;0.7746960569308597;61.54763738407754;0.43982555987426114;67.42858435625757
2;Subject_3;1;0.15597857357071374;67.38208291985292;0.10855731700459405;64.89763037488432;0.06941676431105645;72.11408893500166;0.07049968405954068;67.31696526680675;0.10358141070804416;63.94221359234679
3;Subject_4;1;3.37096107159509;56.426914795909056;5.268732776449422;57.238907771470274;5.620275061086371;57.37697304646727;3.406326293029342;65.2219954719355;0.837058856004111;76.37007655598204
4;Subject_5;1;2.657993675472336;50.117944169144295;4.277142044808864;55.21200193236031;5.557301424309554;57.774028657025426;3.850735970101979;67.62601080090047;2.3336994955691086;70.18914736784724
5;Subject_6;1;1.2750079765612765;50.204104908087594;1.4744489824521583;51.517261517810056;1.552455836357655;52.64760881711407;1.5185905813392682;57.418033707190645;1.069371719431958;61.12064667614993
6;Subject_7;1;0.9383610217880148;54.906945727291514;1.9594282853329936;55.11561778793588;3.154155455122939;56.37800873188699;2.5245683349123107;60.328540024909;1.122434293582453;65.00125319234282
7;Subject_8;1;1.1997353203324546;50.09323056880401;1.6003181060294749;52.54292365360179;1.8918580530966895;54.96241438061641;1.0691122077106572;61.34841849082085;0.30217916829513625;64.89566936290507
8;Subject_9;1;2.2462232396581583;50.043463313435566;2.6432294483228587;55.20826428209408;3.0884518378263026;58.95902529975853;1.7120923979933447;70.08654344125509;0.6325899533124051;73.99158116062102
9;Subject_10;1;1.1210123154038574;53.74424249067733;1.625112760593428;53.837674966945045;2.4605389725411775;55.124870998120436;2.8632184317515685;61.34548567034634;2.0335688965740824;67.43789410873293
10;Subject_11;1;1.399771529974493;53.552977070272156;2.3339144931177804;57.40442215446126;2.552117758857767;58.660870356058425;1.5053029575151229;67.54200992504515;0.34122805544642393;68.78596940599222
11;Subject_12;1;0.8547713891652837;57.44339204939167;1.7546446170828793;61.33382988438621;1.963300051273362;64.87457429794583;1.4390506840145723;75.26467413940335;0.7151841797169372;81.367802076294
12;Subject_13;1;1.6423024016188292;50.37843819551381;3.2103269881211838;52.65536921771885;4.104151923479153;55.06930580686613;3.3206165902472695;60.19210946541326;0.6158259517166877;65.00413149377623
13;Subject_14;1;3.0513978646876367;46.51531690528052;3.285628849097572;49.01727000235247;3.28232370873923;49.18595803806526;3.4407542437856304;57.690323141547495;2.027639399823866;63.951932260624304
14;Subject_15;1;0.5155911982959305;49.833075727143985;1.4846026129862315;52.51788122489342;2.288312573328619;53.79966671082146;1.8724430643696757;60.15658555407566;0.799818077125787;65.99880900219303
15;Subject_16;1;1.2308303723741374;61.13129304820046;2.96233747707692;61.32673226778842;3.2752970516872746;63.599027250547536;1.9985868075407227;68.5706830564099;0.9545103915036128;72.56320448580014
16;Subject_17;1;2.541312349333517;56.15046253162197;3.028430719850125;56.40718079150801;3.6185712211069063;58.793011705456045;3.5158251067799293;66.20875740280013;1.8190781745352491;73.69504752288283
17;Subject_18;1;0.9171769397578762;54.905881880301045;1.8387778653449733;57.30171546746892;2.1720991708796435;59.95091615309129;1.7266046796412966;71.42751517061805;0.667980967373882;82.35133973255483
18;Subject_19;1;1.9232321056684816;58.91860632251478;2.8319944260662577;61.188376728870445;3.387852801883954;61.5375541307321;2.5798479312037066;68.99835321199959;0.5779121328553114;76.23172545512347
